item,task,modello,condizione,origine,contesto,istruzione,inizio_turno,testo
V095,T2,Riferimento umano,umano,KPN001_T2_730_c5,"A: pecché èreno 'e primm'anne ca appunto s'accummenciava n'attimo a diffónnere 'e cchiù chesta, cioè 'a moda, no, d' 'o sushi
A: quinni ce porta pàteme e dice ""va bbuono, okay"", doppo mh, c'èramo mangiate 'e pizze accussì, e fa ""va bbuono, okay"", cioè era p~, era passato 'o cammariere e fa ""ah, guardate, nuje stasera facimmo pure sta cosa, vulite n'assaggio"", e pàteme fa ""sì sì, okay""
A: ""puortace magari nu piatto misto d' 'a spartere"", okay","Completa il turno gia' iniziato, in napoletano.","quinni ce stévano, saje, 'e","sashimi, ehm, 'e roll accussì"
V103,T2,Riferimento umano,umano,KPN001_T2_737_c5,"A: sì
A: accussì
A: pàteme, 'e tutt' 'e ccose, po' 'a primma cosa ca nota so' st~, sti ccose verde, e fa","Completa il turno gia' iniziato, in napoletano.","""mah, chi sape che d'è"",",ll'addora nu poco accussì
V104,T2,Riferimento umano,umano,KPN001_T2_744_c16,"A: 'a sarza 'e soia, ca tu in genere comunque pure 'o wasabi si t' 'o vuò nu poco stemperà, diciamo
A: t' 'o miette 'ncopp' 'o roll, 'ncopp'a chello ca te pare, e po' comunque 'o vagne llà, cioè ner senso
B: o sì","Completa il turno gia' iniziato, in napoletano.","o 'o riesce, te piace accussì e sti cazze, o comunque però si t' 'o vuò","nu poco stemperà 'o, 'o vagno llà, quinni nun ce steva manco 'a sarzella ca dice"
V075,T2,Riferimento umano,umano,KPN001_T2_984_c4,"B: certo
B: sputà int' 'o cibbo, ovvio
A: ma overamente","Completa il turno gia' iniziato, in napoletano.",cucciulià 'e pusate primma,'e 'e mettere dinto
V016,T2,Gemma4B,sistema,KPN001_T2_993_c4,"C: prego
B: ma chisto è n'atu tappo
A: eh, t' 'o aggio ditto, ne hanno pigliato uno uguale, ma","Completa il turno gia' iniziato, in napoletano.",ma chisto è tipo,na versione diversa
V129,T2,Llama7B,sistema,KPN001_T2_993_c4,"C: prego
B: ma chisto è n'atu tappo
A: eh, t' 'o aggio ditto, ne hanno pigliato uno uguale, ma","Completa il turno gia' iniziato, in napoletano.",ma chisto è tipo,'o primmo
V054,T2,Minerva7B,sistema,KPN001_T2_993_c4,"C: prego
B: ma chisto è n'atu tappo
A: eh, t' 'o aggio ditto, ne hanno pigliato uno uguale, ma","Completa il turno gia' iniziato, in napoletano.",ma chisto è tipo,'o tappo suojo
V060,T2,Gemma4B,sistema,KPN001_T2_998_c5,"A: ca nun se chiamma
A: te s'arape tutto quanto
A: e vabbuò","Completa il turno gia' iniziato, in napoletano.",mo vaco 'n giro c','e babbaglie
V112,T2,Llama7B,sistema,KPN001_T2_998_c5,"A: ca nun se chiamma
A: te s'arape tutto quanto
A: e vabbuò","Completa il turno gia' iniziato, in napoletano.",mo vaco 'n giro c','a mamma ll'hê
V105,T2,Minerva7B,sistema,KPN001_T2_998_c5,"A: ca nun se chiamma
A: te s'arape tutto quanto
A: e vabbuò","Completa il turno gia' iniziato, in napoletano.",mo vaco 'n giro c','o piglio
V051,T2,Gemma4B,sistema,KPN003_T2_1245_c6,"C: e â, ô~ ô tal~ cioè no ô tallone, ô tendine
B: 'o solito cuoso 'e ll'anfibio
C: esatto","Completa il turno gia' iniziato, in napoletano.",allora aggio accummenciato a cammenà cu,'e scarpe nu poco cchiù
V149,T2,Llama7B,sistema,KPN003_T2_1245_c6,"C: e â, ô~ ô tal~ cioè no ô tallone, ô tendine
B: 'o solito cuoso 'e ll'anfibio
C: esatto","Completa il turno gia' iniziato, in napoletano.",allora aggio accummenciato a cammenà cu,'e palline
V121,T2,Minerva7B,sistema,KPN003_T2_1245_c6,"C: e â, ô~ ô tal~ cioè no ô tallone, ô tendine
B: 'o solito cuoso 'e ll'anfibio
C: esatto","Completa il turno gia' iniziato, in napoletano.",allora aggio accummenciato a cammenà cu,ll'acqua 'ncoppa
V078,T2,Riferimento umano,umano,KPN003_T2_1247_c3,"C: esatto
C: allora aggio accummenciato a cammenà cu 'e vans messe a ciavatta
A: sì","Completa il turno gia' iniziato, in napoletano.",p' 'o centro,pecché tenevo malissimo
V119,T2,Gemma4B,sistema,KPN003_T2_1250_c4,"C: p' 'o centro pecché tenevo malissimo
B: è comodo cammenà accussì
C: eh, ma in realtà era cchiù comodo, cioè","Completa il turno gia' iniziato, in napoletano.","sì, però è addeventato",nu poco ca
V099,T2,Llama7B,sistema,KPN003_T2_1250_c4,"C: p' 'o centro pecché tenevo malissimo
B: è comodo cammenà accussì
C: eh, ma in realtà era cchiù comodo, cioè","Completa il turno gia' iniziato, in napoletano.","sì, però è addeventato",nu poco 'e
V047,T2,Minerva7B,sistema,KPN003_T2_1250_c4,"C: p' 'o centro pecché tenevo malissimo
B: è comodo cammenà accussì
C: eh, ma in realtà era cchiù comodo, cioè","Completa il turno gia' iniziato, in napoletano.","sì, però è addeventato",cchiù 'ncoppa
V124,T2,Riferimento umano,umano,KPN003_T2_231_c4,"C: ca po', scusa, isso quanno simmo juti ll'ata vota mancu isso teneva 'a tessera
A: no
B: e comme ha fatto a trasì","Completa il turno gia' iniziato, in napoletano.","no, nun, 'nfatti ll'ata",vota nun simmo trasute
V090,T2,Gemma4B,sistema,KPN003_T2_234_c6,"C: no, nun, 'nfatti ll'ata vota nun simmo trasute
A: nun simmo trasute
C: però cioè nun penzo ca s' 'a sia fatta sulo pe' sta serata, cioè","Completa il turno gia' iniziato, in napoletano.","ca po' isso fa 'e cose,",cioè 'e cchiù
V077,T2,Llama7B,sistema,KPN003_T2_234_c6,"C: no, nun, 'nfatti ll'ata vota nun simmo trasute
A: nun simmo trasute
C: però cioè nun penzo ca s' 'a sia fatta sulo pe' sta serata, cioè","Completa il turno gia' iniziato, in napoletano.","ca po' isso fa 'e cose,",po' fernesce
V091,T2,Minerva7B,sistema,KPN003_T2_234_c6,"C: no, nun, 'nfatti ll'ata vota nun simmo trasute
A: nun simmo trasute
C: però cioè nun penzo ca s' 'a sia fatta sulo pe' sta serata, cioè","Completa il turno gia' iniziato, in napoletano.","ca po' isso fa 'e cose,","po' fa 'e ffoto, po' ll'aggi'a"
V072,T2,Gemma4B,sistema,KPN003_T2_235_c4,"A: nun simmo trasute
C: però cioè nun penzo ca s' 'a sia fatta sulo pe' sta serata, cioè
C: ca po' isso fa 'e cose, ah, tutte v~ sto arradunanno gente","Completa il turno gia' iniziato, in napoletano.",in realtà ll'ha ditto,"""s' 'a si"
V043,T2,Llama7B,sistema,KPN003_T2_235_c4,"A: nun simmo trasute
C: però cioè nun penzo ca s' 'a sia fatta sulo pe' sta serata, cioè
C: ca po' isso fa 'e cose, ah, tutte v~ sto arradunanno gente","Completa il turno gia' iniziato, in napoletano.",in realtà ll'ha ditto,"""okay, vabbuò"""
V131,T2,Minerva7B,sistema,KPN003_T2_235_c4,"A: nun simmo trasute
C: però cioè nun penzo ca s' 'a sia fatta sulo pe' sta serata, cioè
C: ca po' isso fa 'e cose, ah, tutte v~ sto arradunanno gente","Completa il turno gia' iniziato, in napoletano.",in realtà ll'ha ditto,pure a me
V017,T2,Riferimento umano,umano,KPN003_T2_239_c3,"C: sulo a nuje
C: nun se sape cchiù
C: chi è","Completa il turno gia' iniziato, in napoletano.","sì sì, ll'ata",vota ll'avimmo viste
V130,T2,Gemma4B,sistema,KPN003_T2_246_c4,"B: 'mballatissima
A: ma 'nfatti 'a vide, pecché nun fa nu cazzo int' 'a vita, pe' nun spennere sordi e fà 'a guagliona alternativa nu poco fricchettona
C: ma è cchiù piccerella","Completa il turno gia' iniziato, in napoletano.",nun saccio si è,bbuono pe' ll'alber
V021,T2,Llama7B,sistema,KPN003_T2_246_c4,"B: 'mballatissima
A: ma 'nfatti 'a vide, pecché nun fa nu cazzo int' 'a vita, pe' nun spennere sordi e fà 'a guagliona alternativa nu poco fricchettona
C: ma è cchiù piccerella","Completa il turno gia' iniziato, in napoletano.",nun saccio si è,"mh, mh"
V092,T2,Minerva7B,sistema,KPN003_T2_246_c4,"B: 'mballatissima
A: ma 'nfatti 'a vide, pecché nun fa nu cazzo int' 'a vita, pe' nun spennere sordi e fà 'a guagliona alternativa nu poco fricchettona
C: ma è cchiù piccerella","Completa il turno gia' iniziato, in napoletano.",nun saccio si è,'a primma vota
V005,T2,Riferimento umano,umano,KPN003_T2_489_c8,"A: sì
A: eh
B: cioè nun esiste, ma pure si vaje llà n'ora primma nun 'o truove","Completa il turno gia' iniziato, in napoletano.",po' soprattutto si è ll'orario addò 'e criature,"esceno 'a scola, ce stanno tutte 'e genitore"
V006,T2,Riferimento umano,umano,KPN003_T2_497_c3,"B: no no, sì sì, ma è stata essa a dicere subbito ""ah, mo aggi'a truvà 'o modo pe' te fà fà 'a ztl""
A: eh
B: e comunque lunedì me faccio proprio sulo 'o percorso cu essa pe' vedé comme","Completa il turno gia' iniziato, in napoletano.","che strategia, cioè,",che po' strategia
V004,T2,Riferimento umano,umano,KPN003_T2_498_c7,"A: eh
B: e comunque lunedì me faccio proprio sulo 'o percorso cu essa pe' vedé comme
B: che strategia, cioè, che po' strategia","Completa il turno gia' iniziato, in napoletano.","embè, tu ce ll'hê 'a ripetere tante","vote ""ma nun ce stanno parcheggi"""
V127,T2,Gemma4B,sistema,KPN003_T2_500_c12,"B: che strategia, cioè, che po' strategia
C: embè, tu ce ll'hê 'a ripetere tante vote ""ma nun ce stanno parcheggi""
B: eh, 'nfatti no, pecché sennò ce dico ""c' 'o cazzo ca venco llà a""","Completa il turno gia' iniziato, in napoletano.","sì, cioè si hê 'a stà sulo 'n machina a girà 'mpanicata",int' 'a città
V098,T2,Llama7B,sistema,KPN003_T2_500_c12,"B: che strategia, cioè, che po' strategia
C: embè, tu ce ll'hê 'a ripetere tante vote ""ma nun ce stanno parcheggi""
B: eh, 'nfatti no, pecché sennò ce dico ""c' 'o cazzo ca venco llà a""","Completa il turno gia' iniziato, in napoletano.","sì, cioè si hê 'a stà sulo 'n machina a girà 'mpanicata",", 'mpanichella, 'mpane"
V037,T2,Minerva7B,sistema,KPN003_T2_500_c12,"B: che strategia, cioè, che po' strategia
C: embè, tu ce ll'hê 'a ripetere tante vote ""ma nun ce stanno parcheggi""
B: eh, 'nfatti no, pecché sennò ce dico ""c' 'o cazzo ca venco llà a""","Completa il turno gia' iniziato, in napoletano.","sì, cioè si hê 'a stà sulo 'n machina a girà 'mpanicata",'ncopp' 'o parcheggio
V079,T2,Riferimento umano,umano,KPN003_T2_730_c5,"B: e tu addò s~ addò ce si' juta tu
A: a ll'universi~
C: na vota ca avev'a jì a lezione","Completa il turno gia' iniziato, in napoletano.","ll'aggio ditto ""vabbuò, vedimmoce primma","ca vaco a lezione"""
V042,T2,Gemma4B,sistema,KPN003_T2_731_c3,"A: a ll'universi~
C: na vota ca avev'a jì a lezione
C: ll'aggio ditto ""vabbuò, vedimmoce primma ca vaco a lezione""","Completa il turno gia' iniziato, in napoletano.",e avimmo bevuto,'a birra
V139,T2,Llama7B,sistema,KPN003_T2_731_c3,"A: a ll'universi~
C: na vota ca avev'a jì a lezione
C: ll'aggio ditto ""vabbuò, vedimmoce primma ca vaco a lezione""","Completa il turno gia' iniziato, in napoletano.",e avimmo bevuto,nu bicchiere
V118,T2,Minerva7B,sistema,KPN003_T2_731_c3,"A: a ll'universi~
C: na vota ca avev'a jì a lezione
C: ll'aggio ditto ""vabbuò, vedimmoce primma ca vaco a lezione""","Completa il turno gia' iniziato, in napoletano.",e avimmo bevuto,'n bicchiere
V058,T2,Gemma4B,sistema,KPN003_T2_739_c6,"C: cioè
C: nun era manco brutto e nun era manco antipatico
A: no, però s' 'a credeva troppo","Completa il turno gia' iniziato, in napoletano.","però era strano, cioè nun capive",v' 'a vota
V024,T2,Llama7B,sistema,KPN003_T2_739_c6,"C: cioè
C: nun era manco brutto e nun era manco antipatico
A: no, però s' 'a credeva troppo","Completa il turno gia' iniziato, in napoletano.","però era strano, cioè nun capive","va nuje cosa, cioé"
V010,T2,Minerva7B,sistema,KPN003_T2_739_c6,"C: cioè
C: nun era manco brutto e nun era manco antipatico
A: no, però s' 'a credeva troppo","Completa il turno gia' iniziato, in napoletano.","però era strano, cioè nun capive",cchiù niente
V114,T2,Gemma4B,sistema,KPN003_T2_747_c8,"B: dipenne 'a ll'approccio
A: ma sì
C: pure pecché","Completa il turno gia' iniziato, in napoletano.",uno ca s~ saje ca s'è accucchiato tutte,'e nott~
V002,T2,Llama7B,sistema,KPN003_T2_747_c8,"B: dipenne 'a ll'approccio
A: ma sì
C: pure pecché","Completa il turno gia' iniziato, in napoletano.",uno ca s~ saje ca s'è accucchiato tutte,'e fettuole 'e pummarola
V133,T2,Minerva7B,sistema,KPN003_T2_747_c8,"B: dipenne 'a ll'approccio
A: ma sì
C: pure pecché","Completa il turno gia' iniziato, in napoletano.",uno ca s~ saje ca s'è accucchiato tutte,'e ffoto
V035,T2,Riferimento umano,umano,KPN003_T2_980_c6,"B: cu ll'ila e 'a mara
C: ah, ok
B: ma nun stévamo, cioè","Completa il turno gia' iniziato, in napoletano.","si, si 'e ffemmene accucchiassero ll'uommene",comme ll'uommene accùcchiano 'e ffemmene
V107,T2,Riferimento umano,umano,KPN003_T2_983_c4,"A: si, si 'e ffemmene accucchiassero ll'uommene comme ll'uommene accùcchiano 'e ffemmene
C: mh
B: sì, i' sarrìa accussì, i' sarrìa accussì, 'nfatti","Completa il turno gia' iniziato, in napoletano.","no, però ce aggio",nu poco penzato
V120,T2,Gemma4B,sistema,KPN003_T2_986_c3,"B: no, però ce aggio nu poco penzato
B: aggio ditto ""ma pecché aggi'a f~""
B: magari dice ""vabbuò, ne sta parlanno cu ll'ate"" e 'o faje","Completa il turno gia' iniziato, in napoletano.","vabbuò, almeno ce",stévamo 'ncopp'a stessa
V116,T2,Llama7B,sistema,KPN003_T2_986_c3,"B: no, però ce aggio nu poco penzato
B: aggio ditto ""ma pecché aggi'a f~""
B: magari dice ""vabbuò, ne sta parlanno cu ll'ate"" e 'o faje","Completa il turno gia' iniziato, in napoletano.","vabbuò, almeno ce",stanno nu poco
V013,T2,Minerva7B,sistema,KPN003_T2_986_c3,"B: no, però ce aggio nu poco penzato
B: aggio ditto ""ma pecché aggi'a f~""
B: magari dice ""vabbuò, ne sta parlanno cu ll'ate"" e 'o faje","Completa il turno gia' iniziato, in napoletano.","vabbuò, almeno ce",aggio fatto nu
V117,T2,Gemma4B,sistema,KPN003_T2_988_c3,"B: magari dice ""vabbuò, ne sta parlanno cu ll'ate"" e 'o faje
C: vabbuò, almeno ce si' rimasta impressa
B: no","Completa il turno gia' iniziato, in napoletano.",e lloro che,s' 'o pigliano
V122,T2,Llama7B,sistema,KPN003_T2_988_c3,"B: magari dice ""vabbuò, ne sta parlanno cu ll'ate"" e 'o faje
C: vabbuò, almeno ce si' rimasta impressa
B: no","Completa il turno gia' iniziato, in napoletano.",e lloro che,fanno 'a scolaresca
V022,T2,Minerva7B,sistema,KPN003_T2_988_c3,"B: magari dice ""vabbuò, ne sta parlanno cu ll'ate"" e 'o faje
C: vabbuò, almeno ce si' rimasta impressa
B: no","Completa il turno gia' iniziato, in napoletano.",e lloro che,"diceno ""ah, nun"
V074,T2,Gemma4B,sistema,KPN003_T2_991_c3,"C: e lloro che faccia hanno fatto?
B: pecché era chillo ca ce steva pure quanno stévamo cu marco e tommaso, era 'o stesso cammariere
C: sì sì","Completa il turno gia' iniziato, in napoletano.",'nfatti pure i',ll'avr' ditto
V076,T2,Llama7B,sistema,KPN003_T2_991_c3,"C: e lloro che faccia hanno fatto?
B: pecché era chillo ca ce steva pure quanno stévamo cu marco e tommaso, era 'o stesso cammariere
C: sì sì","Completa il turno gia' iniziato, in napoletano.",'nfatti pure i',m'aggi'a fà
V071,T2,Minerva7B,sistema,KPN003_T2_991_c3,"C: e lloro che faccia hanno fatto?
B: pecché era chillo ca ce steva pure quanno stévamo cu marco e tommaso, era 'o stesso cammariere
C: sì sì","Completa il turno gia' iniziato, in napoletano.",'nfatti pure i',nun m' 'o
V059,T2,Gemma4B,sistema,KPN003_T2_993_c3,"C: sì sì
C: 'nfatti pure i' ll'avevo già visto
B: mhmh","Completa il turno gia' iniziato, in napoletano.",e lloro 'nfatti,nun s'
V065,T2,Llama7B,sistema,KPN003_T2_993_c3,"C: sì sì
C: 'nfatti pure i' ll'avevo già visto
B: mhmh","Completa il turno gia' iniziato, in napoletano.",e lloro 'nfatti,ce stévano
V102,T2,Minerva7B,sistema,KPN003_T2_993_c3,"C: sì sì
C: 'nfatti pure i' ll'avevo già visto
B: mhmh","Completa il turno gia' iniziato, in napoletano.",e lloro 'nfatti,nun l'avevano
V137,T2,Gemma4B,sistema,KPN003_T2_994_c8,"C: 'nfatti pure i' ll'avevo già visto
B: mhmh
B: e lloro 'nfatti stévano tipo","Completa il turno gia' iniziato, in napoletano.","e niente, m'ha ditto 'o nomme accussì e","'o ditto ""sì, è nu nomme cchiù"
V052,T2,Llama7B,sistema,KPN003_T2_994_c8,"C: 'nfatti pure i' ll'avevo già visto
B: mhmh
B: e lloro 'nfatti stévano tipo","Completa il turno gia' iniziato, in napoletano.","e niente, m'ha ditto 'o nomme accussì e",po' è rimasta 'n vacanza
V084,T2,Minerva7B,sistema,KPN003_T2_994_c8,"C: 'nfatti pure i' ll'avevo già visto
B: mhmh
B: e lloro 'nfatti stévano tipo","Completa il turno gia' iniziato, in napoletano.","e niente, m'ha ditto 'o nomme accussì e",po' 'ncopp' 'a fora
V134,T2,Gemma4B,sistema,KPN003_T2_997_c6,"B: e niente, m'ha ditto 'o nomme accussì e po' fa ""ma i' t'aggio già vista""
B: e i' aggio ditto ""boh, nun 'o saccio""
A: mhmh","Completa il turno gia' iniziato, in napoletano.",pecché ha ditto ca secondo isso,ce stévamo assaje 'ncopp'a
V082,T2,Llama7B,sistema,KPN003_T2_997_c6,"B: e niente, m'ha ditto 'o nomme accussì e po' fa ""ma i' t'aggio già vista""
B: e i' aggio ditto ""boh, nun 'o saccio""
A: mhmh","Completa il turno gia' iniziato, in napoletano.",pecché ha ditto ca secondo isso,è chillu juorne
V106,T2,Minerva7B,sistema,KPN003_T2_997_c6,"B: e niente, m'ha ditto 'o nomme accussì e po' fa ""ma i' t'aggio già vista""
B: e i' aggio ditto ""boh, nun 'o saccio""
A: mhmh","Completa il turno gia' iniziato, in napoletano.",pecché ha ditto ca secondo isso,i' nun l'aggio maje vista
V070,T3,Gemma4B,sistema,KPN001_T3_1046,"B: ll'ati dduje nun ll'hê tuccate, so' separate adeguatamente
A: mhmh
B: tu pigli, magari nun 'e nzuppe int' 'a sarzella addò tiene
A: pucci
B: pecché comme se dice
A: no no, ce stongo, ce stongo","Tocca a B. Rispondi in napoletano, restando sul tema.",,"nun ll'hê tuccate, so separate adeguatamente, ll'ati dduje"
V003,T3,Llama7B,sistema,KPN001_T3_1046,"B: ll'ati dduje nun ll'hê tuccate, so' separate adeguatamente
A: mhmh
B: tu pigli, magari nun 'e nzuppe int' 'a sarzella addò tiene
A: pucci
B: pecché comme se dice
A: no no, ce stongo, ce stongo","Tocca a B. Rispondi in napoletano, restando sul tema.",,"ll'ati dduje nun ll'hê tuccate, so' separate adeguatamente"
V026,T3,Minerva7B,sistema,KPN001_T3_1046,"B: ll'ati dduje nun ll'hê tuccate, so' separate adeguatamente
A: mhmh
B: tu pigli, magari nun 'e nzuppe int' 'a sarzella addò tiene
A: pucci
B: pecché comme se dice
A: no no, ce stongo, ce stongo","Tocca a B. Rispondi in napoletano, restando sul tema.",,"pucci, no, chisto è nu modo 'e di~, cioè 'o stesse, no"
V141,T3,Gemma4B,sistema,KPN001_T3_1050,"B: pecché comme se dice
A: no no, ce stongo, ce stongo
B: nun 'e nzuppe int' 'a sarzella
B: però 'e magne
A: e comme no
B: credo",Sei A. Rispondi in napoletano a quello che ha appena detto B.,,"'e magne, 'e magne, 'e magne"
V147,T3,Llama7B,sistema,KPN001_T3_1050,"B: pecché comme se dice
A: no no, ce stongo, ce stongo
B: nun 'e nzuppe int' 'a sarzella
B: però 'e magne
A: e comme no
B: credo",Sei A. Rispondi in napoletano a quello che ha appena detto B.,,"no, 'e magne, nun 'e nzuppe int' 'a sarzella"
V111,T3,Minerva7B,sistema,KPN001_T3_1050,"B: pecché comme se dice
A: no no, ce stongo, ce stongo
B: nun 'e nzuppe int' 'a sarzella
B: però 'e magne
A: e comme no
B: credo",Sei A. Rispondi in napoletano a quello che ha appena detto B.,,e 'e salze
V067,T3,Riferimento umano,umano,KPN001_T3_1063,"A: eh no baby
A: no, aspiett', 'n che senzo nun te può piglià 'o covid
B: eh
A: overamente
B: pecché 'o magne
A: eh vabbuò, ma nun te fernesce comunque","Tocca a B. Rispondi in napoletano, restando sul tema.",,"eh, nun 'o ssaccio"
V115,T3,Riferimento umano,umano,KPN001_T3_942,"B: tutto a posto, grazie, sì sì
A: tutto bbuono, grazie, sì sì, tutto bbuonissimo
B: ll'unica cosa, 'o vino nun simmo riuscite a 'o fernì, 'o tenite ancora 'o tappo
C: sì sì","Riprendi il discorso di C: parla B, in napoletano. (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,accussì a 'o massimo 'a purtammo â casa
V027,T3,Gemma4B,sistema,KPN001_T3_956,"C: mhmh
A: sì sì
A: pe' me sì, ca, ca mangio mh cibo indiano, sì
B: no, i' no
A: essa no
A: però",Scrivi la replica di C in napoletano: dev'essere una risposta a A.,,"no, io, io mangio italiano, sì"
V053,T3,Llama7B,sistema,KPN001_T3_956,"C: mhmh
A: sì sì
A: pe' me sì, ca, ca mangio mh cibo indiano, sì
B: no, i' no
A: essa no
A: però",Scrivi la replica di C in napoletano: dev'essere una risposta a A.,,"sì, sì, ca, ca mangio mh cibo indiano, sì, ma no, i' no, essa no"
V039,T3,Minerva7B,sistema,KPN001_T3_956,"C: mhmh
A: sì sì
A: pe' me sì, ca, ca mangio mh cibo indiano, sì
B: no, i' no
A: essa no
A: però",Scrivi la replica di C in napoletano: dev'essere una risposta a A.,,"essa no, ma llà sì"
V032,T3,Riferimento umano,umano,KPN001_T3_960,"A: essa no
A: però
C: sempe 'a nnuje o n'ato
B: no, ccà è 'a primma vota, sì sì
A: no pecché essa steva fore
C: ah okay, okay","Adesso parla B. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,sì sì sì
V018,T3,Riferimento umano,umano,KPN001_T3_963,"B: no, ccà è 'a primma vota, sì sì
A: no pecché essa steva fore
C: ah okay, okay
B: sì sì sì
A: nun campa 'n Italia 'a nu poco
B: cchiù o meno",Scrivi la replica di A in napoletano: dev'essere una risposta a B.,,"eh, che faje c' 'o tuvagliulo mio"
V087,T3,Riferimento umano,umano,KPN001_T3_967,"A: nun campa 'n Italia 'a nu poco
B: cchiù o meno
A: eh, che faje c' 'o tuvagliulo mio
B: aggio sbrudulato tutte cose, guarda che casino ca aggio fatto
A: ah, aggio capito, ma i' magari m'aggi'a pulizzà
B: grazie cara","Turno di A. Rispondi in napoletano, breve e pertinente.",,è na fronna 'e lauro d' 'a curona soja
V009,T3,Gemma4B,sistema,KPN001_T3_970,"B: aggio sbrudulato tutte cose, guarda che casino ca aggio fatto
A: ah, aggio capito, ma i' magari m'aggi'a pulizzà
B: grazie cara
A: è na fronna 'e lauro d' 'a curona soja
A: mo sapésse 'e cibbo indiano, no, nun è overo
B: mh","Adesso parla A. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"ma aggio fatto 'e cose 'e 'a curona, cioè 'e cibbo indiano, cioè 'e cose 'e 'a curona"
V086,T3,Llama7B,sistema,KPN001_T3_970,"B: aggio sbrudulato tutte cose, guarda che casino ca aggio fatto
A: ah, aggio capito, ma i' magari m'aggi'a pulizzà
B: grazie cara
A: è na fronna 'e lauro d' 'a curona soja
A: mo sapésse 'e cibbo indiano, no, nun è overo
B: mh","Adesso parla A. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"ma aggio sbrudulato, ma aggio sbrudulato, eh, 'e cibbo indiano, nun è over"
