item,task,modello,contesto,istruzione,inizio_turno,testo_valutato,naturalezza,grammatica,lessico,note
V059,T2,Gemma4B,"C: sì sì
C: 'nfatti pure i' ll'avevo già visto
B: mhmh","Completa il turno gia' iniziato, in napoletano.",e lloro 'nfatti,nun s',2,2,2,"Turno troncato, vuoto o fortemente incoerente."
V087,T3,Riferimento umano,"A: nun campa 'n Italia 'a nu poco
B: cchiù o meno
A: eh, che faje c' 'o tuvagliulo mio
B: aggio sbrudulato tutte cose, guarda che casino ca aggio fatto
A: ah, aggio capito, ma i' magari m'aggi'a pulizzà
B: grazie cara","Turno di A. Rispondi in napoletano, breve e pertinente.",,è na fronna 'e lauro d' 'a curona soja,4,5,5,
V120,T2,Gemma4B,"B: no, però ce aggio nu poco penzato
B: aggio ditto ""ma pecché aggi'a f~""
B: magari dice ""vabbuò, ne sta parlanno cu ll'ate"" e 'o faje","Completa il turno gia' iniziato, in napoletano.","vabbuò, almeno ce",stévamo 'ncopp'a stessa,2,2,2,
V041,T2,Riferimento umano,"B: mhmh
A: e 'e patatine
A: oppure magari ce stanno 'e vvote ca spenno nu poco 'e cchiù però magari me vaco a mangià na cosa bbona, diversa, o comunque me vaco a fà 'a cena 'e pesce particulare, o che ne saccio","Completa il turno gia' iniziato, in napoletano.","spenno 'e cchiù, o pe' dicere, stevamo parlanno","pure d' 'e chef stellate, magari dice",4,5,5,
V021,T2,Llama7B,"B: 'mballatissima
A: ma 'nfatti 'a vide, pecché nun fa nu cazzo int' 'a vita, pe' nun spennere sordi e fà 'a guagliona alternativa nu poco fricchettona
C: ma è cchiù piccerella","Completa il turno gia' iniziato, in napoletano.",nun saccio si è,"mh, mh",4,4,3,
V133,T2,Minerva7B,"B: dipenne 'a ll'approccio
A: ma sì
C: pure pecché","Completa il turno gia' iniziato, in napoletano.",uno ca s~ saje ca s'è accucchiato tutte,'e ffoto,4,4,4,
V122,T2,Llama7B,"B: magari dice ""vabbuò, ne sta parlanno cu ll'ate"" e 'o faje
C: vabbuò, almeno ce si' rimasta impressa
B: no","Completa il turno gia' iniziato, in napoletano.",e lloro che,fanno 'a scolaresca,2,3,2,
V110,T2,Gemma4B,"A: quacche tiempo fa
A: ca se parlava 'e mh, so' partute 'e vacanze eh
A: spennere pe' mangià, 'nsomma eh","Completa il turno gia' iniziato, in napoletano.",e stevamo dicenno appunto ca â,fine 'e vacanz' 'a ll'abbim,2,1,2,"Turno troncato, vuoto o fortemente incoerente."
V126,T3,Minerva7B,"A: 'e balle suoje
A: cioè sorteggià nu ballo
A: che ne saccio, essa ll'adda fà però quanno è già bresca
C: sì sì, 'o fà fà pure a tutte ll'invitate
A: sì, 'nzegn~ 'nzegnà, nun saccio
A: 'e passe 'e","Come risponderebbe D, in napoletano?",,'e passe 'e balle,4,4,4,
V057,T2,Minerva7B,"A: quacche tiempo fa
A: ca se parlava 'e mh, so' partute 'e vacanze eh
A: spennere pe' mangià, 'nsomma eh","Completa il turno gia' iniziato, in napoletano.",e stevamo dicenno appunto ca â,fine d' 'o sabbato,3,3,2,
V010,T2,Minerva7B,"C: cioè
C: nun era manco brutto e nun era manco antipatico
A: no, però s' 'a credeva troppo","Completa il turno gia' iniziato, in napoletano.","però era strano, cioè nun capive",cchiù niente,4,5,5,
V069,T2,Minerva7B,"A: mhmh
B: se mèttono a mangià 'a ehm cucine siciliane tipo
A: ah okay, quinni dice comunque nun è ca dice ""saje, magari me faccio ll'esperienza a mangià int'a nu posto diverso ca fa nu menù""","Completa il turno gia' iniziato, in napoletano.",addò fanno,'a pasta,4,5,4,
V013,T2,Minerva7B,"B: no, però ce aggio nu poco penzato
B: aggio ditto ""ma pecché aggi'a f~""
B: magari dice ""vabbuò, ne sta parlanno cu ll'ate"" e 'o faje","Completa il turno gia' iniziato, in napoletano.","vabbuò, almeno ce",aggio fatto nu,2,2,2,
V064,T2,Llama7B,"A: e vabbuò
B: mo vaco 'n giro c' 'a buttiglia 'e vino accussì
A: che terribbele ca si'","Completa il turno gia' iniziato, in napoletano.","baby, ce stanno",nu casino a,3,2,4,
V033,T3,Gemma4B,"B: simmo juti c' 'a chiavetta 'n copisteria
A: sì
A: e e iss~ e chillo llà ha visto tutte 'e toje",Sei C. Rispondi in napoletano a quello che ha appena detto A.,,e 'e toje tutte 'e toje,2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V048,T3,Riferimento umano,"C: dirà ""basta, so' arraggiato""
A: no
C: ghostiammo
D: vulite quacc'ata cosa
A: no no, grazie","Come risponderebbe B, in napoletano?",,a posto accussì,5,5,5,
V012,T3,Llama7B,"A: 'e balle suoje
A: cioè sorteggià nu ballo
A: che ne saccio, essa ll'adda fà però quanno è già bresca
C: sì sì, 'o fà fà pure a tutte ll'invitate
A: sì, 'nzegn~ 'nzegnà, nun saccio
A: 'e passe 'e","Come risponderebbe D, in napoletano?",,"sì, sì, 'e fà fà pure a ll'invitate, ma 'e fà pure a ll'amma 'nz",2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V099,T2,Llama7B,"C: p' 'o centro pecché tenevo malissimo
B: è comodo cammenà accussì
C: eh, ma in realtà era cchiù comodo, cioè","Completa il turno gia' iniziato, in napoletano.","sì, però è addeventato",nu poco 'e,2,2,2,
V125,T2,Riferimento umano,"B: vide chisto
A: no, assaggio primma chisto
B: mhmh","Completa il turno gia' iniziato, in napoletano.","però c' 'o riso, si no",nun riesce a 'o piglià,4,4,5,
V136,T3,Gemma4B,"A: sì, no, 'o saccio, però
C: vabbuò, 'ntanto scrivimmo
A: ah, llà puó stoppà in realtà
B: a luca
B: addò sta
C: mh",Scrivi la replica di B in napoletano: dev'essere una risposta a C. (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente),,"'a luca, sì, addò sta",3,3,3,
V121,T2,Minerva7B,"C: e â, ô~ ô tal~ cioè no ô tallone, ô tendine
B: 'o solito cuoso 'e ll'anfibio
C: esatto","Completa il turno gia' iniziato, in napoletano.",allora aggio accummenciato a cammenà cu,ll'acqua 'ncoppa,3,4,2,
V054,T2,Minerva7B,"C: prego
B: ma chisto è n'atu tappo
A: eh, t' 'o aggio ditto, ne hanno pigliato uno uguale, ma","Completa il turno gia' iniziato, in napoletano.",ma chisto è tipo,'o tappo suojo,4,5,5,
V129,T2,Llama7B,"C: prego
B: ma chisto è n'atu tappo
A: eh, t' 'o aggio ditto, ne hanno pigliato uno uguale, ma","Completa il turno gia' iniziato, in napoletano.",ma chisto è tipo,'o primmo,4,4,4,
V015,T3,Gemma4B,"C: sì sì, 'o fà fà pure a tutte ll'invitate
A: sì, 'nzegn~ 'nzegnà, nun saccio
A: 'e passe 'e
D: signurine, vulite quacc'ata cosa
A: grazie
D: nu ducetiello",Continua la conversazione: scrivi il turno di C in napoletano.,,"'e cose 'e casa, 'e cose 'e casa, 'e cose 'e casa, 'e cose 'e casa, 'e cose '",1,2,1,"Turno troncato, vuoto o fortemente incoerente."
V091,T2,Minerva7B,"C: no, nun, 'nfatti ll'ata vota nun simmo trasute
A: nun simmo trasute
C: però cioè nun penzo ca s' 'a sia fatta sulo pe' sta serata, cioè","Completa il turno gia' iniziato, in napoletano.","ca po' isso fa 'e cose,","po' fa 'e ffoto, po' ll'aggi'a",4,4,4,
V116,T2,Llama7B,"B: no, però ce aggio nu poco penzato
B: aggio ditto ""ma pecché aggi'a f~""
B: magari dice ""vabbuò, ne sta parlanno cu ll'ate"" e 'o faje","Completa il turno gia' iniziato, in napoletano.","vabbuò, almeno ce",stanno nu poco,4,4,4,
V146,T3,Llama7B,"A: sì, avimmo ditto ""ma no""
B: ah, ok ok
C: penzava ca fóssero ffoto
A: sì
C: po' ll'avarrà viste e avarrà ditto ""ok""
A: Sì sì sì, no","Adesso parla B. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"sì, ll'avarrà viste e avarrà ditto ""ok""",4,4,2,
V080,T3,Llama7B,"C: sì sì, 'o fà fà pure a tutte ll'invitate
A: sì, 'nzegn~ 'nzegnà, nun saccio
A: 'e passe 'e
D: signurine, vulite quacc'ata cosa
A: grazie
D: nu ducetiello",Continua la conversazione: scrivi il turno di C in napoletano.,,"sì, 'e 'nzognò, nun saccio",2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V049,T3,Gemma4B,"A: grazie
D: nu ducetiello
C: no no, grazie, stammo a posto
A: no, a posto accussì
D: stammo a posto accussì
A: grazie assaje",Continua la conversazione: scrivi il turno di D in napoletano.,,"ma sì, grazie assaje, grazie assaje, grazie assaje, grazie assaje, grazie assaje, grazie assaje, grazie assaje, grazie",1,2,1,"Turno troncato, vuoto o fortemente incoerente."
V001,T3,Minerva7B,"A: sì, avimmo ditto ""ma no""
B: ah, ok ok
C: penzava ca fóssero ffoto
A: sì
C: po' ll'avarrà viste e avarrà ditto ""ok""
A: Sì sì sì, no","Adesso parla B. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"e avarà ditto ""ok""",4,4,4,
V132,T2,Llama7B,"A: quacche tiempo fa
A: ca se parlava 'e mh, so' partute 'e vacanze eh
A: spennere pe' mangià, 'nsomma eh","Completa il turno gia' iniziato, in napoletano.",e stevamo dicenno appunto ca â,"vabbuò, cioè",2,2,2,
V119,T2,Gemma4B,"C: p' 'o centro pecché tenevo malissimo
B: è comodo cammenà accussì
C: eh, ma in realtà era cchiù comodo, cioè","Completa il turno gia' iniziato, in napoletano.","sì, però è addeventato",nu poco ca,2,2,2,
V037,T2,Minerva7B,"B: che strategia, cioè, che po' strategia
C: embè, tu ce ll'hê 'a ripetere tante vote ""ma nun ce stanno parcheggi""
B: eh, 'nfatti no, pecché sennò ce dico ""c' 'o cazzo ca venco llà a""","Completa il turno gia' iniziato, in napoletano.","sì, cioè si hê 'a stà sulo 'n machina a girà 'mpanicata",'ncopp' 'o parcheggio,4,4,4,
V131,T2,Minerva7B,"A: nun simmo trasute
C: però cioè nun penzo ca s' 'a sia fatta sulo pe' sta serata, cioè
C: ca po' isso fa 'e cose, ah, tutte v~ sto arradunanno gente","Completa il turno gia' iniziato, in napoletano.",in realtà ll'ha ditto,pure a me,4,4,5,
V106,T2,Minerva7B,"B: e niente, m'ha ditto 'o nomme accussì e po' fa ""ma i' t'aggio già vista""
B: e i' aggio ditto ""boh, nun 'o saccio""
A: mhmh","Completa il turno gia' iniziato, in napoletano.",pecché ha ditto ca secondo isso,i' nun l'aggio maje vista,5,4,5,
V045,T3,Riferimento umano,"C: e ce facimmo 'e spazie cu 'e nummere
A: sì
A: sì
C: e po' stampammo 'ncopp'a carta fotograf~ f~ emh carta adesiva
A: adesiva",Scrivi la replica di C in napoletano: dev'essere una risposta a A.,,e 'e ffoto,4,5,4,
V114,T2,Gemma4B,"B: dipenne 'a ll'approccio
A: ma sì
C: pure pecché","Completa il turno gia' iniziato, in napoletano.",uno ca s~ saje ca s'è accucchiato tutte,'e nott~,2,2,2,"Turno troncato, vuoto o fortemente incoerente."
V055,T3,Minerva7B,"D: bbuono, grazie assaje a vuje
C: grazie
A: ce sta pure c' 'e balle fà quaccosa
A: ca dopo c' 'o vestito suojo se carreca
A: eh
C: n'ata birra","Turno di A. Rispondi in napoletano, breve e pertinente.",,"no, grazie",5,5,4,
V077,T2,Llama7B,"C: no, nun, 'nfatti ll'ata vota nun simmo trasute
A: nun simmo trasute
C: però cioè nun penzo ca s' 'a sia fatta sulo pe' sta serata, cioè","Completa il turno gia' iniziato, in napoletano.","ca po' isso fa 'e cose,",po' fernesce,4,4,4,
V101,T3,Llama7B,"A: grazie
D: nu ducetiello
C: no no, grazie, stammo a posto
A: no, a posto accussì
D: stammo a posto accussì
A: grazie assaje",Continua la conversazione: scrivi il turno di D in napoletano.,,"no, a posto accussì, ma 'nfatti, grazie assaje",4,4,4,
V006,T2,Riferimento umano,"B: no no, sì sì, ma è stata essa a dicere subbito ""ah, mo aggi'a truvà 'o modo pe' te fà fà 'a ztl""
A: eh
B: e comunque lunedì me faccio proprio sulo 'o percorso cu essa pe' vedé comme","Completa il turno gia' iniziato, in napoletano.","che strategia, cioè,",che po' strategia,4,4,4,
V096,T3,Llama7B,"A: no, i' no
B: okay, i' te piglio n'ata birra
B: però nun saparrìa quale piglià
D: si jate 'e xxx
D: vuó quaccosa sempe 'ncopp' 'o acido
D: o","Come risponderebbe B, in napoletano?",,"no, 'o acido nun è 'ncopp'",4,4,4,
V019,T3,Minerva7B,"B: a luca
B: addò sta
C: mh
B: giusto pe' sapé addò sta
C: tanto songo già 'e
C: unnice, embè, songo ll'unnice","Come risponderebbe A, in napoletano?",,"ah, ll'unnice",4,5,4,
V039,T3,Minerva7B,"C: mhmh
A: sì sì
A: pe' me sì, ca, ca mangio mh cibo indiano, sì
B: no, i' no
A: essa no
A: però",Scrivi la replica di C in napoletano: dev'essere una risposta a A.,,"essa no, ma llà sì",4,4,4,
V134,T2,Gemma4B,"B: e niente, m'ha ditto 'o nomme accussì e po' fa ""ma i' t'aggio già vista""
B: e i' aggio ditto ""boh, nun 'o saccio""
A: mhmh","Completa il turno gia' iniziato, in napoletano.",pecché ha ditto ca secondo isso,ce stévamo assaje 'ncopp'a,2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V003,T3,Llama7B,"B: ll'ati dduje nun ll'hê tuccate, so' separate adeguatamente
A: mhmh
B: tu pigli, magari nun 'e nzuppe int' 'a sarzella addò tiene
A: pucci
B: pecché comme se dice
A: no no, ce stongo, ce stongo","Tocca a B. Rispondi in napoletano, restando sul tema.",,"ll'ati dduje nun ll'hê tuccate, so' separate adeguatamente",4,4,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V060,T2,Gemma4B,"A: ca nun se chiamma
A: te s'arape tutto quanto
A: e vabbuò","Completa il turno gia' iniziato, in napoletano.",mo vaco 'n giro c','e babbaglie,4,4,3,
V018,T3,Riferimento umano,"B: no, ccà è 'a primma vota, sì sì
A: no pecché essa steva fore
C: ah okay, okay
B: sì sì sì
A: nun campa 'n Italia 'a nu poco
B: cchiù o meno",Scrivi la replica di A in napoletano: dev'essere una risposta a B.,,"eh, che faje c' 'o tuvagliulo mio",4,4,5,
V051,T2,Gemma4B,"C: e â, ô~ ô tal~ cioè no ô tallone, ô tendine
B: 'o solito cuoso 'e ll'anfibio
C: esatto","Completa il turno gia' iniziato, in napoletano.",allora aggio accummenciato a cammenà cu,'e scarpe nu poco cchiù,4,4,4,
V027,T3,Gemma4B,"C: mhmh
A: sì sì
A: pe' me sì, ca, ca mangio mh cibo indiano, sì
B: no, i' no
A: essa no
A: però",Scrivi la replica di C in napoletano: dev'essere una risposta a A.,,"no, io, io mangio italiano, sì",2,2,2,"Turno troncato, vuoto o fortemente incoerente."
V028,T3,Llama7B,"A: 'o twister, allora erano quatto, forse
C: chello ca ha fatto cu 'a sara
A: obbligo o verità ce steva
C: secondo me obbligo o verità steva int' 'e casellelle
C: 'a comme me ricordo
B: pecché i' me so' perza tutto",Sei C. Rispondi in napoletano a quello che ha appena detto B. (l'ultimo turno e' una domanda: rispondi alla domanda),,"'a come me ricordo, pecché i' me so' perza todo",4,4,3,
V108,T3,Minerva7B,"A: sì, no, 'o saccio, però
C: vabbuò, 'ntanto scrivimmo
A: ah, llà puó stoppà in realtà
B: a luca
B: addò sta
C: mh",Scrivi la replica di B in napoletano: dev'essere una risposta a C. (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente),,addò sta luca,5,5,4,
V002,T2,Llama7B,"B: dipenne 'a ll'approccio
A: ma sì
C: pure pecché","Completa il turno gia' iniziato, in napoletano.",uno ca s~ saje ca s'è accucchiato tutte,'e fettuole 'e pummarola,4,4,3,
V026,T3,Minerva7B,"B: ll'ati dduje nun ll'hê tuccate, so' separate adeguatamente
A: mhmh
B: tu pigli, magari nun 'e nzuppe int' 'a sarzella addò tiene
A: pucci
B: pecché comme se dice
A: no no, ce stongo, ce stongo","Tocca a B. Rispondi in napoletano, restando sul tema.",,"pucci, no, chisto è nu modo 'e di~, cioè 'o stesse, no",4,4,4,
V058,T2,Gemma4B,"C: cioè
C: nun era manco brutto e nun era manco antipatico
A: no, però s' 'a credeva troppo","Completa il turno gia' iniziato, in napoletano.","però era strano, cioè nun capive",v' 'a vota,2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V038,T3,Minerva7B,"A: e e iss~ e chillo llà ha visto tutte 'e toje
C: no no no, era, era 'n bolognina
A: piazza 'e ll'unità
B: ah, era arte copia
C: arte copia
B: oddio, me canosce pure bbuono, vaco sempe llà",Sei A. Rispondi in napoletano a quello che ha appena detto B.,,"ma sì sì, pure llà",4,5,4,
V143,T2,Gemma4B,"A: mhmh
B: se mèttono a mangià 'a ehm cucine siciliane tipo
A: ah okay, quinni dice comunque nun è ca dice ""saje, magari me faccio ll'esperienza a mangià int'a nu posto diverso ca fa nu menù""","Completa il turno gia' iniziato, in napoletano.",addò fanno,'e cchiù,4,4,4,
V142,T3,Riferimento umano,"A: ehm obbligo o verità, forse
C: obbligo o veri~ tà
A: ce steva, ce steva pure obbligo o verità
B: ma scusa, 'o memory
C: 'o memory ll'aveva fatto 'a
B: no, hê ditto 'o memory",Continua la conversazione: scrivi il turno di C in napoletano.,,"'o, chello 'e ll'yoga",3,3,2,"Turno troncato, vuoto o fortemente incoerente."
V149,T2,Llama7B,"C: e â, ô~ ô tal~ cioè no ô tallone, ô tendine
B: 'o solito cuoso 'e ll'anfibio
C: esatto","Completa il turno gia' iniziato, in napoletano.",allora aggio accummenciato a cammenà cu,'e palline,2,2,2,"Turno troncato, vuoto o fortemente incoerente."
V070,T3,Gemma4B,"B: ll'ati dduje nun ll'hê tuccate, so' separate adeguatamente
A: mhmh
B: tu pigli, magari nun 'e nzuppe int' 'a sarzella addò tiene
A: pucci
B: pecché comme se dice
A: no no, ce stongo, ce stongo","Tocca a B. Rispondi in napoletano, restando sul tema.",,"nun ll'hê tuccate, so separate adeguatamente, ll'ati dduje",3,3,2,
V084,T2,Minerva7B,"C: 'nfatti pure i' ll'avevo già visto
B: mhmh
B: e lloro 'nfatti stévano tipo","Completa il turno gia' iniziato, in napoletano.","e niente, m'ha ditto 'o nomme accussì e",po' 'ncopp' 'a fora,2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V040,T3,Gemma4B,"C: no no, grazie, stammo a posto
A: no, a posto accussì
D: stammo a posto accussì
A: grazie assaje
D: bbuono, grazie assaje a vuje
C: grazie",Continua la conversazione: scrivi il turno di A in napoletano.,,"ma, ma, ma, ma, ma, ma, ma, ma, ma, ma, ma, ma, ma, ma, ma, ma,",1,1,1,"Turno troncato, vuoto o fortemente incoerente."
V035,T2,Riferimento umano,"B: cu ll'ila e 'a mara
C: ah, ok
B: ma nun stévamo, cioè","Completa il turno gia' iniziato, in napoletano.","si, si 'e ffemmene accucchiassero ll'uommene",comme ll'uommene accùcchiano 'e ffemmene,4,4,4,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V004,T2,Riferimento umano,"A: eh
B: e comunque lunedì me faccio proprio sulo 'o percorso cu essa pe' vedé comme
B: che strategia, cioè, che po' strategia","Completa il turno gia' iniziato, in napoletano.","embè, tu ce ll'hê 'a ripetere tante","vote ""ma nun ce stanno parcheggi""",5,4,5,
V145,T2,Llama7B,"A: mhmh
B: se mèttono a mangià 'a ehm cucine siciliane tipo
A: ah okay, quinni dice comunque nun è ca dice ""saje, magari me faccio ll'esperienza a mangià int'a nu posto diverso ca fa nu menù""","Completa il turno gia' iniziato, in napoletano.",addò fanno,nu menù,4,5,4,
V102,T2,Minerva7B,"C: sì sì
C: 'nfatti pure i' ll'avevo già visto
B: mhmh","Completa il turno gia' iniziato, in napoletano.",e lloro 'nfatti,nun l'avevano,2,2,2,"Turno troncato, vuoto o fortemente incoerente."
V047,T2,Minerva7B,"C: p' 'o centro pecché tenevo malissimo
B: è comodo cammenà accussì
C: eh, ma in realtà era cchiù comodo, cioè","Completa il turno gia' iniziato, in napoletano.","sì, però è addeventato",cchiù 'ncoppa,2,3,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V014,T3,Minerva7B,"C: no no, grazie, stammo a posto
A: no, a posto accussì
D: stammo a posto accussì
A: grazie assaje
D: bbuono, grazie assaje a vuje
C: grazie",Continua la conversazione: scrivi il turno di A in napoletano.,,grazie assaje a ll'attacco,2,2,2,Risposta poco pertinente o con ripetizioni/forme poco naturali.
V112,T2,Llama7B,"A: ca nun se chiamma
A: te s'arape tutto quanto
A: e vabbuò","Completa il turno gia' iniziato, in napoletano.",mo vaco 'n giro c','a mamma ll'hê,2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V074,T2,Gemma4B,"C: e lloro che faccia hanno fatto?
B: pecché era chillo ca ce steva pure quanno stévamo cu marco e tommaso, era 'o stesso cammariere
C: sì sì","Completa il turno gia' iniziato, in napoletano.",'nfatti pure i',ll'avr' ditto,3,3,4,
V008,T3,Riferimento umano,"C: e ce facimmo 'e spazie cu 'e nummere
A: sì
A: sì
C: e po' stampammo 'ncopp'a carta fotograf~ f~ emh carta adesiva
A: adesiva
C: e 'e ffoto",Sei A. Rispondi in napoletano a quello che ha appena detto C.,,tanto 'o f~ ce ll'hanno,2,2,2,"Turno troncato, vuoto o fortemente incoerente."
V042,T2,Gemma4B,"A: a ll'universi~
C: na vota ca avev'a jì a lezione
C: ll'aggio ditto ""vabbuò, vedimmoce primma ca vaco a lezione""","Completa il turno gia' iniziato, in napoletano.",e avimmo bevuto,'a birra,4,4,4,
V053,T3,Llama7B,"C: mhmh
A: sì sì
A: pe' me sì, ca, ca mangio mh cibo indiano, sì
B: no, i' no
A: essa no
A: però",Scrivi la replica di C in napoletano: dev'essere una risposta a A.,,"sì, sì, ca, ca mangio mh cibo indiano, sì, ma no, i' no, essa no",3,3,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V148,T3,Riferimento umano,"C: e 'o twister, è overo
A: 'o twister, allora erano quatto, forse
C: chello ca ha fatto cu 'a sara
A: obbligo o verità ce steva
C: secondo me obbligo o verità steva int' 'e casellelle
C: 'a comme me ricordo","Riprendi il discorso di C: parla B, in napoletano.",,pecché i' me so' perza tutto,5,4,5,
V024,T2,Llama7B,"C: cioè
C: nun era manco brutto e nun era manco antipatico
A: no, però s' 'a credeva troppo","Completa il turno gia' iniziato, in napoletano.","però era strano, cioè nun capive","va nuje cosa, cioé",2,2,2,Risposta poco pertinente o con ripetizioni/forme poco naturali.
V044,T3,Gemma4B,"A: no, i' no
B: okay, i' te piglio n'ata birra
B: però nun saparrìa quale piglià
D: si jate 'e xxx
D: vuó quaccosa sempe 'ncopp' 'o acido
D: o","Come risponderebbe B, in napoletano?",,'a 'e xxx 'e 'o limoncello,2,2,2,Risposta poco pertinente o con ripetizioni/forme poco naturali.
V017,T2,Riferimento umano,"C: sulo a nuje
C: nun se sape cchiù
C: chi è","Completa il turno gia' iniziato, in napoletano.","sì sì, ll'ata",vota ll'avimmo viste,4,4,4,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V127,T2,Gemma4B,"B: che strategia, cioè, che po' strategia
C: embè, tu ce ll'hê 'a ripetere tante vote ""ma nun ce stanno parcheggi""
B: eh, 'nfatti no, pecché sennò ce dico ""c' 'o cazzo ca venco llà a""","Completa il turno gia' iniziato, in napoletano.","sì, cioè si hê 'a stà sulo 'n machina a girà 'mpanicata",int' 'a città,4,4,4,Risposta poco pertinente o con ripetizioni/forme poco naturali.
